claim_id,state,district,latitude,longitude,claimed_area,recorded_area,submission_date,verification_date,approval_date,status,days_pending,claim_type,anomaly_flag,anomaly_type,severity
FRA-00076,Jharkhand,West Singhbhum,22.609327,85.929428,6.06,6.83,2024-11-06,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00077,Odisha,Sundargarh,19.859501,86.544728,4.37,3.72,2023-09-04,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00078,Jharkhand,Gumla,23.116368,85.695195,5.32,5.74,2024-02-12,,,Pending,935,Individual Forest Right,False,None,None
FRA-00079,Kerala,Palakkad,11.215393,75.583906,11.75,10.14,2024-10-17,,,Pending,687,Individual Forest Right,True,Delayed Processing,High
FRA-00080,Chhattisgarh,Surguja,22.348502,82.622571,6.88,15.7,2024-07-24,2024-08-21,2024-10-17,Approved,0,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00081,Maharashtra,Nashik,20.599347,79.814122,12.86,14.25,2024-02-18,2024-08-06,,Under Verification,929,Community Forest Right,False,None,None
FRA-00082,Maharashtra,Gadchiroli,20.469838,74.878162,10.42,9.76,2023-04-11,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00083,Kerala,Wayanad,10.831036,76.735003,13.6,11.75,2022-04-25,2022-06-21,2022-08-20,Approved,0,Community Forest Resource,False,None,None
FRA-00084,Jharkhand,Gumla,22.424959,84.276389,13.13,13.6,2023-05-09,,,Pending,1214,Individual Forest Right,False,None,None
FRA-00085,Jharkhand,Simdega,23.148926,86.333943,13.53,13.39,2023-08-13,,,Pending,1118,Community Forest Right,False,None,None
FRA-00086,Odisha,Keonjhar,21.055755,84.90939,4.13,4.56,2023-02-12,2023-06-25,,Under Verification,1300,Community Forest Right,False,None,None
FRA-00087,Maharashtra,Chandrapur,20.299248,80.941536,4.78,10.73,2025-09-10,2025-09-21,2025-12-07,Approved,0,Individual Forest Right,True,Land Record Mismatch,Medium
FRA-00088,Maharashtra,Chandrapur,18.876018,74.521056,4.13,4.45,2025-09-12,,,Pending,357,Individual Forest Right,False,None,None
FRA-00089,Kerala,Wayanad,10.426799,76.102058,8.9,9.52,2022-07-04,2022-10-05,,Under Verification,1523,Individual Forest Right,False,None,None
FRA-00090,Chhattisgarh,Kanker,21.932564,82.629382,5.8,5.8,2023-07-13,,,Rejected,0,Community Forest Right,False,None,None
FRA-00091,Odisha,Keonjhar,21.71693,85.107491,36.32,35.17,2023-04-08,2023-07-28,,Under Verification,1245,Community Forest Right,True,Unusual Claim Area,High
FRA-00092,Maharashtra,Gadchiroli,19.819144,78.382627,10.25,10.51,2025-07-31,2025-09-06,,Under Verification,400,Community Forest Right,False,None,None
FRA-00093,Madhya Pradesh,Mandla,24.28814,77.885469,1.42,1.56,2025-12-06,2026-02-06,2026-02-25,Approved,0,Individual Forest Right,False,None,None
FRA-00094,Odisha,Sundargarh,18.964482,84.0566,8.29,8.01,2024-01-30,,,Pending,948,Community Forest Resource,False,None,None
FRA-00095,Jharkhand,Gumla,24.213534,86.292227,12.59,13.03,2023-07-27,2023-09-22,2023-10-24,Approved,0,Individual Forest Right,False,None,None
FRA-00096,Odisha,Koraput,22.423711,84.653007,13.57,4.44,2022-05-05,2022-06-08,2022-06-28,Approved,0,Individual Forest Right,True,Land Record Mismatch,High
FRA-00097,Odisha,Mayurbhanj,22.455284,86.541401,3.48,3.82,2025-02-09,2025-03-18,2025-04-21,Approved,0,Individual Forest Right,False,None,None
FRA-00098,Maharashtra,Gadchiroli,19.109099,80.872225,14.82,15.0,2022-12-24,2023-04-23,2023-05-01,Approved,0,Community Forest Right,False,None,None
FRA-00099,Chhattisgarh,Surguja,18.078905,80.796103,2.34,2.28,2022-08-21,,,Rejected,0,Community Forest Right,False,None,None
FRA-00100,Maharashtra,Gadchiroli,19.808022,74.772398,9.42,10.06,2025-09-11,,,Pending,358,Individual Forest Right,False,None,None
FRA-00101,Madhya Pradesh,Dindori,24.118246,78.705094,2.07,2.2,2024-06-27,2024-07-17,2024-09-01,Approved,0,Individual Forest Right,False,None,None
FRA-00102,Chhattisgarh,Surguja,21.121587,81.756094,10.83,10.44,2025-05-08,,,Pending,484,Community Forest Resource,False,None,None
FRA-00103,Jharkhand,Ranchi,23.98274,84.400449,9.99,11.12,2025-02-03,,,Rejected,0,Community Forest Right,False,None,None
FRA-00104,Chhattisgarh,Dantewada,19.694658,81.360497,34.7,38.15,2024-05-24,2024-07-05,2024-08-26,Approved,0,Individual Forest Right,True,Unusual Claim Area,High
FRA-00105,Jharkhand,Ranchi,23.861472,85.304264,2.39,2.07,2025-02-24,,,Pending,557,Community Forest Right,False,None,None
FRA-00106,Odisha,Sundargarh,21.972369,86.244773,14.54,14.98,2023-12-22,2024-03-05,2024-04-06,Approved,0,Community Forest Right,False,None,None
FRA-00107,Chhattisgarh,Bastar,19.75057,81.668796,2.17,2.03,2026-02-07,,,Under Verification,209,Individual Forest Right,True,Delayed Processing,Medium
FRA-00108,Odisha,Keonjhar,22.18615,84.579605,82.23,75.2,2025-09-08,2025-10-06,2025-12-31,Approved,0,Community Forest Right,True,Unusual Claim Area,Medium
FRA-00109,Jharkhand,Simdega,22.393523,85.090731,5.2,5.89,2025-05-06,2025-05-22,2025-06-15,Approved,0,Community Forest Resource,False,None,None
FRA-00110,Madhya Pradesh,Bhopal,22.680257,79.647755,7.54,7.41,2023-07-14,2023-09-27,2023-10-16,Approved,0,Individual Forest Right,False,None,None
FRA-00111,Odisha,Sundargarh,20.607736,84.387887,3.7,4.24,2025-04-07,2022-06-10,2022-07-12,Under Verification,515,Individual Forest Right,True,Delayed Processing,High
FRA-00112,Madhya Pradesh,Dindori,23.867535,77.702779,6.01,6.38,2024-10-21,,,Pending,683,Community Forest Right,False,None,None
FRA-00113,Madhya Pradesh,Dindori,24.154411,77.169209,0.77,0.87,2023-10-04,,,Pending,1066,Community Forest Resource,False,None,None
FRA-00114,Kerala,Kannur,10.368546,76.012581,14.51,13.08,2025-06-19,,,Pending,442,Community Forest Right,False,None,None
FRA-00115,Madhya Pradesh,Dindori,24.111211,77.973266,9.04,9.1,2024-03-21,2024-06-25,,Under Verification,897,Individual Forest Right,False,None,None
FRA-00116,Madhya Pradesh,Bhopal,23.326512,77.775615,11.76,11.23,2025-08-14,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00117,Odisha,Mayurbhanj,19.193996,83.687914,11.51,10.04,2025-04-19,,,Under Verification,503,Individual Forest Right,True,Delayed Processing,High
FRA-00118,Jharkhand,Ranchi,23.172303,86.209848,12.05,12.38,2023-12-22,,,Pending,987,Community Forest Right,False,None,None
FRA-00119,Madhya Pradesh,Bhopal,22.921844,78.148308,9.85,11.26,2022-07-04,,,Pending,1523,Community Forest Right,False,None,None
FRA-00120,Maharashtra,Gadchiroli,19.798935,79.478527,37.25,41.71,2024-09-01,,,Pending,733,Community Forest Right,True,Unusual Claim Area,High
FRA-00121,Kerala,Wayanad,11.013647,75.431397,4.09,4.01,2024-06-18,,,Pending,808,Community Forest Right,False,None,None
FRA-00122,Odisha,Keonjhar,20.049666,86.485092,10.34,8.95,2025-07-16,,,Pending,415,Individual Forest Right,False,None,None
FRA-00123,Maharashtra,Nashik,19.136588,78.789869,10.02,11.24,2022-11-04,2023-01-27,2023-04-26,Approved,0,Community Forest Right,False,None,None
FRA-00124,Odisha,Sundargarh,19.015807,86.189753,1.73,1.76,2024-10-04,,,Under Verification,700,Community Forest Right,True,Delayed Processing,Medium
FRA-00125,Madhya Pradesh,Mandla,22.772165,80.804677,5.46,5.9,2023-01-29,2023-02-25,2023-03-21,Approved,0,Individual Forest Right,False,None,None
FRA-00126,Maharashtra,Gadchiroli,20.647717,80.011142,9.46,9.74,2026-01-23,2023-03-08,2023-05-31,Under Verification,224,Community Forest Right,True,Delayed Processing,Medium
FRA-00127,Odisha,Mayurbhanj,22.378354,85.747679,11.41,12.38,2023-04-25,,,Pending,1228,Community Forest Right,False,None,None
FRA-00128,Chhattisgarh,Surguja,21.391534,81.711258,6.89,7.45,2024-02-22,,,Pending,925,Individual Forest Right,False,None,None
FRA-00129,Chhattisgarh,Kanker,22.36501,80.156539,7.47,7.18,2022-07-30,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00130,Odisha,Koraput,21.552467,84.227561,13.63,25.85,2024-06-14,2024-07-22,2024-09-22,Approved,0,Individual Forest Right,True,Land Record Mismatch,Medium
FRA-00131,Jharkhand,Ranchi,22.937282,84.098656,14.0,15.42,2025-08-24,2025-09-21,2025-10-13,Approved,0,Community Forest Right,False,None,None
FRA-00132,Kerala,Palakkad,11.776523,76.172775,9.42,10.57,2022-02-08,2022-06-04,2022-06-28,Approved,0,Community Forest Resource,False,None,None
FRA-00133,Maharashtra,Nashik,18.444747,75.304813,4.87,4.21,2024-05-09,,,Pending,848,Individual Forest Right,False,None,None
FRA-00134,Madhya Pradesh,Dindori,23.491848,77.065741,7.97,7.35,2022-10-22,2022-11-01,2023-01-23,Approved,0,Community Forest Resource,False,None,None
FRA-00135,Jharkhand,Gumla,23.660928,84.299649,14.63,12.73,2024-11-12,,,Under Verification,661,Individual Forest Right,True,Delayed Processing,Medium
FRA-00136,Kerala,Kannur,12.443118,75.634126,0.74,0.8,2023-12-08,2024-03-11,2024-06-04,Approved,0,Community Forest Resource,False,None,None
FRA-00137,Kerala,Idukki,9.900229,75.880748,5.41,5.64,2025-11-03,,,Pending,305,Community Forest Resource,False,None,None
FRA-00138,Chhattisgarh,Kanker,18.315503,82.328571,7.14,14.39,2022-03-31,,,Rejected,0,Community Forest Right,True,Land Record Mismatch,High
FRA-00139,Madhya Pradesh,Balaghat,22.715277,80.448554,1.19,0.68,2023-07-14,2023-09-09,2023-11-08,Approved,0,Community Forest Right,True,Land Record Mismatch,High
FRA-00140,Kerala,Kannur,10.602041,76.993227,4.37,3.82,2024-05-19,2024-08-14,2024-09-11,Approved,0,Community Forest Right,False,None,None
FRA-00141,Madhya Pradesh,Bhopal,22.8198,78.18256,6.97,7.43,2022-12-08,,,Pending,1366,Individual Forest Right,False,None,None
FRA-00142,Kerala,Idukki,11.344554,76.087351,9.77,10.62,2022-04-28,2022-07-28,2022-09-22,Approved,0,Community Forest Resource,False,None,None
FRA-00143,Kerala,Palakkad,12.358368,75.356949,9.31,10.1,2022-03-13,2022-04-22,2022-07-18,Approved,0,Community Forest Right,False,None,None
FRA-00144,Maharashtra,Gadchiroli,20.420379,78.432496,14.26,13.71,2022-06-07,,,Pending,1550,Community Forest Right,False,None,None
FRA-00145,Odisha,Keonjhar,19.498447,83.510519,11.17,11.17,2024-03-03,2024-04-12,,Under Verification,915,Community Forest Right,False,None,None
FRA-00146,Kerala,Kannur,10.143711,76.529693,10.56,12.14,2023-02-14,2023-06-13,2023-06-27,Approved,0,Community Forest Resource,False,None,None
FRA-00147,Jharkhand,Ranchi,24.026283,87.386464,14.81,7.61,2025-12-24,2026-03-13,2026-04-24,Approved,0,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00148,Maharashtra,Nandurbar,18.48545,74.607843,2.51,2.73,2022-02-23,2022-05-17,2022-07-08,Approved,0,Community Forest Resource,False,None,None
FRA-00149,Chhattisgarh,Bastar,18.328741,81.19448,10.9,10.83,2025-04-18,,,Pending,504,Community Forest Resource,True,Delayed Processing,Medium
FRA-00150,Madhya Pradesh,Dindori,23.164583,79.06944,2.36,2.59,2025-02-03,,,Pending,578,Individual Forest Right,False,None,None
FRA-00151,Jharkhand,Ranchi,24.078477,85.813357,4.91,4.41,2025-05-31,2026-03-09,2026-04-19,Pending,461,Individual Forest Right,True,Delayed Processing,High
FRA-00152,Kerala,Idukki,11.343285,75.233571,9.79,10.06,2025-04-04,2025-07-07,2025-09-29,Approved,0,Community Forest Resource,False,None,None
FRA-00153,Odisha,Koraput,21.800945,83.127681,1.16,1.21,2025-03-27,2025-05-02,2025-07-19,Approved,0,Community Forest Resource,False,None,None
FRA-00154,Madhya Pradesh,Dindori,24.222492,79.18231,9.81,9.23,2023-05-17,,,Rejected,0,Community Forest Right,False,None,None
FRA-00155,Jharkhand,Ranchi,23.721534,84.553282,6.53,6.46,2023-11-28,,,Pending,1011,Community Forest Resource,False,None,None
FRA-00156,Odisha,Keonjhar,22.401497,83.588448,5.87,5.98,2023-10-16,2023-11-10,2023-12-19,Approved,0,Individual Forest Right,False,None,None
FRA-00157,Madhya Pradesh,Bhopal,22.72553,78.536599,9.42,15.63,2022-11-24,,,Rejected,0,Community Forest Right,True,Land Record Mismatch,High
FRA-00158,Odisha,Sundargarh,18.592705,87.253548,7.83,8.93,2023-03-17,,,Pending,1267,Community Forest Right,False,None,None
FRA-00159,Jharkhand,West Singhbhum,22.714371,84.028621,2.06,1.83,2025-01-22,,,Pending,590,Individual Forest Right,True,Delayed Processing,High
FRA-00160,Maharashtra,Nandurbar,19.450095,75.308814,6.1,6.01,2025-01-31,2025-04-30,2025-07-22,Approved,0,Individual Forest Right,False,None,None
FRA-00161,Jharkhand,Simdega,23.987243,85.186799,14.11,15.19,2023-02-12,,,Pending,1300,Individual Forest Right,False,None,None
FRA-00162,Madhya Pradesh,Bhopal,22.342591,78.332163,7.37,7.27,2025-05-26,2025-07-10,,Under Verification,466,Community Forest Resource,False,None,None
FRA-00163,Odisha,Mayurbhanj,20.071818,85.774252,12.72,13.08,2024-11-04,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00164,Maharashtra,Chandrapur,19.89957,73.133096,5.3,4.68,2025-06-10,,,Under Verification,451,Community Forest Resource,True,Delayed Processing,Medium
FRA-00165,Maharashtra,Nandurbar,20.8856,77.668186,2.97,3.08,2025-06-23,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00166,Chhattisgarh,Bastar,20.862851,82.101563,3.27,3.21,2024-05-07,2024-08-13,2024-09-13,Approved,0,Community Forest Resource,False,None,None
FRA-00167,Jharkhand,Ranchi,23.764438,85.815391,8.63,9.92,2024-09-06,,,Pending,728,Individual Forest Right,False,None,None
FRA-00168,Jharkhand,Simdega,23.365683,86.36554,69.07,63.37,2025-11-20,2026-01-30,2026-02-28,Approved,0,Community Forest Right,True,Unusual Claim Area,High
FRA-00169,Odisha,Mayurbhanj,21.26096,85.200514,7.46,7.6,2023-07-15,2023-10-06,2023-12-19,Approved,0,Community Forest Right,False,None,None
FRA-00170,Odisha,Mayurbhanj,19.661811,84.294337,10.86,10.36,2024-06-24,,,Pending,802,Individual Forest Right,False,None,None
FRA-00171,Chhattisgarh,Surguja,22.66512,82.088514,2.49,3.87,2025-04-16,2025-05-02,2025-07-31,Approved,0,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00172,Kerala,Kannur,9.801635,76.926915,0.58,0.59,2022-11-20,2023-01-29,2023-04-05,Approved,0,Community Forest Right,False,None,None
FRA-00173,Odisha,Keonjhar,21.083592,87.085716,1.8,1.03,2024-12-31,,,Rejected,0,Individual Forest Right,True,Land Record Mismatch,Medium
FRA-00174,Jharkhand,West Singhbhum,22.465779,86.621511,13.15,12.32,2022-03-18,2022-06-08,2022-08-29,Approved,0,Community Forest Right,False,None,None
FRA-00175,Odisha,Sundargarh,22.456398,85.444852,7.66,8.67,2024-10-29,,,Pending,675,Individual Forest Right,False,None,None
FRA-00176,Odisha,Mayurbhanj,21.424477,85.917284,10.92,9.33,2023-11-22,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00177,Chhattisgarh,Dantewada,22.134949,81.545842,1.76,1.85,2023-01-14,2023-05-26,,Under Verification,1329,Individual Forest Right,False,None,None
FRA-00178,Madhya Pradesh,Mandla,22.958936,78.786942,4.37,4.15,2025-04-07,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00179,Odisha,Mayurbhanj,18.748497,83.532012,4.95,4.81,2024-10-26,2025-01-23,,Under Verification,678,Community Forest Resource,False,None,None
FRA-00180,Odisha,Keonjhar,20.958502,83.986079,2.44,1.29,2025-05-25,2025-09-01,2025-11-15,Approved,0,Community Forest Resource,True,Land Record Mismatch,Medium
